id_depto,id_prov,nombre
0,2,COMUNA 1
1,2,COMUNA 1
2,2,COMUNA 2
3,2,COMUNA 3
4,2,COMUNA 4
5,2,COMUNA 5
6,2,COMUNA 6
7,2,COMUNA 7
8,2,COMUNA 8
9,2,COMUNA 9
10,2,COMUNA 10
11,2,COMUNA 11
12,2,COMUNA 12
13,2,COMUNA 13
14,2,COMUNA 14
15,2,COMUNA 15
7,6,ADOLFO ALSINA
14,6,ADOLFO GONZALES CHAVES
21,6,ALBERTI
28,6,ALMIRANTE BROWN
35,6,AVELLANEDA
42,6,AYACUCHO
49,6,AZUL
56,6,BAHÍA BLANCA
58,6,QUILMES
63,6,BALCARCE
70,6,BARADERO
77,6,ARRECIFES
84,6,BENITO JUÁREZ
91,6,BERAZATEGUI
98,6,BERISSO
105,6,BOLÍVAR
112,6,BRAGADO
119,6,BRANDSEN
126,6,CAMPANA
134,6,CAÑUELAS
140,6,CAPITÁN SARMIENTO
147,6,CARLOS CASARES
154,6,CARLOS TEJEDOR
161,6,CARMEN DE ARECO
168,6,CASTELLI
175,6,COLÓN
182,6,CORONEL DE MARINA L. ROSALES
189,6,CORONEL DORREGO
196,6,CORONEL PRINGLES
203,6,CORONEL SUÁREZ
210,6,CHACABUCO
217,6,CHASCOMÚS
224,6,CHIVILCOY
231,6,DAIREAUX
238,6,DOLORES
245,6,ENSENADA
252,6,ESCOBAR
260,6,ESTEBAN ECHEVERRÍA
266,6,EXALTACIÓN DE LA CRUZ
270,6,EZEIZA
274,6,FLORENCIO VARELA
277,6,FLORENTINO AMEGHINO
280,6,GENERAL ALVARADO
287,6,GENERAL ALVEAR
294,6,GENERAL ARENALES
301,6,GENERAL BELGRANO
308,6,GENERAL GUIDO
315,6,GENERAL JUAN MADARIAGA
322,6,GENERAL LA MADRID
329,6,GENERAL LAS HERAS
336,6,GENERAL LAVALLE
343,6,GENERAL PAZ
351,6,GENERAL PINTO
357,6,GENERAL PUEYRREDÓN
364,6,GENERAL RODRÍGUEZ
371,6,GENERAL SAN MARTÍN
385,6,GENERAL VIAMONTE
392,6,GENERAL VILLEGAS
399,6,GUAMINÍ
406,6,HIPÓLITO YRIGOYEN
408,6,HURLINGHAM
410,6,ITUZAINGÓ
412,6,JOSÉ C. PAZ
413,6,JUNÍN
420,6,LA COSTA
427,6,LA MATANZA
434,6,LANÚS
441,6,LA PLATA
448,6,LAPRIDA
455,6,LAS FLORES
462,6,LEANDRO N. ALEM
466,6,LEZAMA
469,6,LINCOLN
476,6,LOBERÍA
483,6,LOBOS
490,6,LOMAS DE ZAMORA
497,6,LUJÁN
505,6,MAGDALENA
511,6,MAIPÚ
515,6,MALVINAS ARGENTINAS
518,6,MAR CHIQUITA
525,6,MARCOS PAZ
532,6,MERCEDES
539,6,MERLO
547,6,MONTE
553,6,MONTE HERMOSO
560,6,MORENO
568,6,MORÓN
574,6,NAVARRO
581,6,NECOCHEA
588,6,9 DE JULIO
595,6,OLAVARRÍA
602,6,PATAGONES
609,6,PEHUAJÓ
616,6,PELLEGRINI
623,6,PERGAMINO
630,6,PILA
638,6,PILAR
644,6,PINAMAR 
648,6,PRESIDENTE PERÓN
651,6,PUÁN
655,6,PUNTA INDIO
658,6,QUILMES
665,6,RAMALLO
672,6,RAUCH
679,6,RIVADAVIA
686,6,ROJAS
693,6,ROQUE PÉREZ
700,6,SAAVEDRA
707,6,SALADILLO
714,6,SALTO
721,6,SALLIQUELÓ
728,6,SAN ANDRÉS DE GILES
735,6,SAN ANTONIO DE ARECO
742,6,SAN CAYETANO
749,6,SAN FERNANDO
756,6,SAN ISIDRO
760,6,SAN MIGUEL
763,6,SAN NICOLÁS
770,6,SAN PEDRO
778,6,SAN VICENTE
784,6,SUIPACHA
791,6,TANDIL
798,6,TAPALQUÉ
805,6,TIGRE
812,6,TORDILLO
819,6,TORNQUIST
826,6,TRENQUE LAUQUEN
833,6,TRES ARROYOS
840,6,TRES DE FEBRERO
847,6,TRES LOMAS 
854,6,25 DE MAYO
861,6,VICENTE LÓPEZ
868,6,VILLA GESELL 
875,6,VILLARINO
882,6,ZÁRATE 
7,10,AMBATO
14,10,ANCASTI
21,10,ANDALGALÁ
28,10,ANTOFAGASTA DE LA SIERRA
35,10,BELÉN
42,10,CAPAYÁN
49,10,CAPITAL
56,10,EL ALTO
63,10,FRAY MAMERTO ESQUIÚ
70,10,LA PAZ
77,10,PACLÍN
84,10,POMÁN
91,10,SANTA MARÍA
98,10,SANTA ROSA
105,10,TINOGASTA
112,10,VALLE VIEJO
7,14,CALAMUCHITA
14,14,CAPITAL
21,14,COLÓN
28,14,CRUZ DEL EJE
35,14,GENERAL ROCA
42,14,GENERAL SAN MARTÍN
49,14,ISCHILÍN
56,14,JUÁREZ CELMAN
